text,department,priority,emergency_score
Underground burst near the railway track causing soil erosion.,water department,Emergency,9.3
Piped water has an oily film and smells of petroleum fuel.,water department,Emergency,9.2
Discovery of a dead cow in the open water distribution tank.,water department,Emergency,9.9
Water supply pipe passing through a filthy sewage drain ditch.,water department,Emergency,9.6
Septic waste leaking into the main distribution valve box.,water department,Emergency,9.5
Total loss of water pressure at the nursing home theater.,water department,Emergency,10.0
Discovery of high turbidity and silt in the intake well tank.,water department,Emergency,9.1
Underground burst flooding the electrical transformer room.,water department,Emergency,9.8
Discovery of bleach-like smell in water causing faintness.,water department,Emergency,9.7
Major rupture in the over-ground pipe on the highway bridge.,water department,Emergency,9.2
Sewage sludge found in the public water tap filtration unit.,water department,Emergency,9.4
Sinkhole formed on the road due to long-term hidden burst.,water department,Emergency,9.5
Discovery of rusted pipe debris in the domestic water supply.,water department,Emergency,9.1
Main supply line burst causing a massive mudslide in ward 3.,water department,Emergency,9.6
Total water outage in the whole village during the drought.,water department,Emergency,9.3
No water supply in the entire colony for the last 48 hours.,water department,High,0
Main supply line across the Meenachil river is leaking now.,water department,High,0
Pipeline damaged by PWD workers during road repairs today.,water department,High,0
Water shortage in the Scheduled Caste colony at Kothala area.,water department,High,0
Pumping motor failure at the local KWA pump house station.,water department,High,0
Water supply contains black particles from pipe corrosion.,water department,High,0
Unauthorized water tapping suspected at a commercial site.,water department,High,0
Major leak in the main distribution line causing flooding.,water department,High,0
Water supply smells strongly of chlorine and causes rashes.,water department,High,0
Broken pipeline near the railway track causing soil erosion.,water department,High,0
Piped water is turbid with visible silt today morning area.,water department,High,0
Turbidity levels are too high at the water treatment plant.,water department,High,0
Water scarcity in Ward 2 for the last five days straight.,water department,High,0
Leakage in the firefighting line at the industrial estate.,water department,High,0
Pipeline leaking near the electrical transformer foundation.,water department,High,0
Residents facing skin infections after using KWA water supply.,water department,High,0
Water supply is salty indicating saline ingress in wells now.,water department,High,0
Pipe burst in the middle of a newly tarred PWD road surface.,water department,High,0
Leakage at the water intake well in the river bed currently.,water department,High,0
Frequent pipe bursts in the old asbestos cement network area.,water department,High,0
Unauthorized connection in a new apartment block suspected.,water department,High,0
Water shortage at the government hospital kitchen today area.,water department,High,0
Broken fire hydrant near the market leaking water for hours.,water department,High,0
Water supply stopped due to motor failure at the pump house.,water department,High,0
Leakage at the main valve of the elevated storage tank here.,water department,High,0
Water supply has stopped completely in the colony since night.,water department,High,0
Sewerage leak smells terrible near the bus stand area today.,water department,High,0
Water supply has an oily residue on top after boiling it.,water department,High,0
Water pipe damaged during the telecom cable laying work now.,water department,High,0
Public tap handle is stolen and water is being wasted now.,water department,High,0
Sewerage backflow in the public toilet near the junction area.,water department,High,0
Water supply stopped because of the main valve malfunction.,water department,High,0
Sewerage manhole cover is missing on the dark village street.,water department,High,0
Incorrect billing showing 5000 units more than actual use.,water department,High,0
Main valve at the hilltop reservoir is stuck closed today.,water department,High,0
Water shortage in the high-altitude areas of the village now.,water department,High,0
Pipeline leaking near the foundation of the village office.,water department,High,0
Water supply pressure is too low for the heater to function.,water department,High,0
Supply stopped due to high turbidity at the intake well area.,water department,High,0
Sinking of the pipe support structure near the village canal.,water department,High,0
Request for water tanker as supply has been off for a week.,water department,High,0
Piped water contains a high concentration of iron particles.,water department,High,0
Sewerage line is choked and requires high-pressure jetting.,water department,High,0
Sewerage leak detected under the newly tarred PWD road path.,water department,High,0
Water supply stopped due to the landslide near the source.,water department,High,0
Underground leak causing a small sinkhole on the sidewalk.,water department,High,0
Residents facing breathing issues due to chlorine leak at plant.,water department,High,0
Main valve failure at the pump house causing supply stop.,water department,High,0
Water scarcity during the pilgrimage season at transit hubs.,water department,High,0
Broken pipeline near the highway bridge span joint today.,water department,High,0
Low water pressure in the high-altitude areas of Pampady.,water department,Medium,0
Minor leak in the distribution line near the Devi temple.,water department,Medium,0
Public tap handle is broken and leaking continuously here.,water department,Medium,0
Turbid water supply with visible silt after the light rain.,water department,Medium,0
Air locks in the pipeline preventing water from reaching roof.,water department,Medium,0
Water supply timing is irregular and not as per schedule.,water department,Medium,0
Request for water quality test for a domestic drinking well.,water department,Medium,0
Complaint about the erratic timings of the valve operator.,water department,Medium,0
Broken valve box cover causing a minor hazard to cyclists.,water department,Medium,0
Sluice valve chamber filled with garbage and needs cleaning.,water department,Medium,0
Public tap left running near the Kothala bus stop junction.,water department,Medium,0
Water shortage in the government high school kitchen pantry.,water department,Medium,0
Underground leak causing a small sinkhole on the side path.,water department,Medium,0
Water leaking from an air release valve on the highway side.,water department,Medium,0
Water tank overflow at the KWA office wasting resources now.,water department,Medium,0
Delay in restoring supply after a scheduled maintenance work.,water department,Medium,0
Water supply pipe is exposed and vibrating on the highway.,water department,Medium,0
Small leak at the joint of the main pipe on the NH 183 path.,water department,Medium,0
Water supply disrupted due to a strike by contract workers.,water department,Medium,0
Leakage at the air release valve near the bus stand corner.,water department,Medium,0
Water meter is installed in a location always submerged here.,water department,Medium,0
Request for periodic cleaning of the ward storage tanks now.,water department,Medium,0
Piped water has a strong metallic taste in the ward area.,water department,Medium,0
Visible leak from the underground pipeline near the school.,water department,Medium,0
Water supply contains fine sand that clogs the domestic taps.,water department,Medium,0
Visible leak in the pipe crossing the roadside drain ditch.,water department,Medium,0
Water leaking from the joint of the main distribution line.,water department,Medium,0
Water supply contains black soot-like particles today area.,water department,Medium,0
Water leaking from the hydrant near the Pampady market area.,water department,Medium,0
Piped water has a slightly brownish color in the ward today.,water department,Medium,0
Water pipe burst in the rubber forest area near Kothala side.,water department,Medium,0
Public tap water is used for washing commercial trucks now.,water department,Medium,0
Water supply has a strong earthy smell this morning currently.,water department,Medium,0
Water pressure is too high and causing pipe vibrations now.,water department,Medium,0
Water supply contains small white particles (possibly lime).,water department,Medium,0
Water pipe damaged by the roots of the large banyan tree.,water department,Medium,0
Water supply has been very erratic since the road work start.,water department,Medium,0
Water pressure is so high it is leaking from the joints now.,water department,Medium,0
Public tap water is dirty and smells of old metal currently.,water department,Medium,0
Water pipe burst near the church causing a large mud puddle.,water department,Medium,0
Public tap handle is stuck in the open position right now.,water department,Medium,0
Water supply is warm and smells slightly of sulfur currently.,water department,Medium,0
Continuous flow in the drain from a hidden pipe burst today.,water department,Medium,0
Water gushing from a faulty hydrant near the fire station.,water department,Medium,0
Water meter reader is irregular and doesn't visit monthly.,water department,Medium,0
Request for checking the water meter for a possible fault.,water department,Medium,0
Complaint about the behavior of the KWA office staff today.,water department,Medium,0
Water supply pressure is low during the morning peak hours.,water department,Medium,0
Visible leak from the valve box in the market center area.,water department,Medium,0
Water supply timing not being adhered to in the ward area.,water department,Medium,0
Request for a new water connection under Jal Jeevan Mission.,water department,Low,0
Water bill showing arrears that were already paid yesterday.,water department,Low,0
Inquiry about the current water tariff for domestic usage.,water department,Low,0
Request for a copy of the latest consumption report today.,water department,Low,0
Inquiry about the status of a pending connection application.,water department,Low,0
Request to shift the water meter to the compound wall area.,water department,Low,0
Complaint about receiving a water bill with a blurred print.,water department,Low,0
Request for BPL verification for water tariff concession.,water department,Low,0
Query regarding the timing of water supply in Ward 2 area.,water department,Low,0
Request for information on water-saving awareness programs.,water department,Low,0
Inquiry about the location of the KWA sub-division office.,water department,Low,0
Request for a copy of the latest water tariff chart today.,water department,Low,0
Complaint about the behavior of the KWA meter reader today.,water department,Low,0
Request for a public water kiosk at the village junction.,water department,Low,0
Inquiry about the "Aqualoom" portal login procedure currently.,water department,Low,0
Request for reconnection after paying long-standing arrears.,water department,Low,0
Query about the documents needed for ownership change today.,water department,Low,0
Request for information on the new solar pumping station.,water department,Low,0
Complaint about the KWA office phone being unanswered now.,water department,Low,0
Request for a water hydrant at the local village market.,water department,Low,0
Inquiry about the bill payment through Akshaya Center portal.,water department,Low,0
Request for a connection transfer to a new name currently.,water department,Low,0
Broken water meter box cover on the residential footpath area.,water department,Low,0
Request for a new sewerage connection for the apartment.,water department,Low,0
Incorrect consumer category mentioned in the water bill.,water department,Low,0
Request for shifting the water pipe from the private yard.,water department,Low,0
Request for info on the new JJM water tariff rates today.,water department,Low,0
Request for testing the water quality of the public kiosk.,water department,Low,0
Water bill showing arrears for the period I was away area.,water department,Low,0
Request for a new connection for the village library hall.,water department,Low,0
Water bill not delivered for the past three billing cycles.,water department,Low,0
Request for information on the status of my connection now.,water department,Low,0
Request for a BPL tariff concession for the senior citizen.,water department,Low,0
Request for shifting the meter to the outer boundary gate.,water department,Low,0
Water bill received is for a different consumer number now.,water department,Low,0
Request for information on the JJM scheme ward-wise today.,water department,Low,0
Water bill shows a previous balance which I have paid area.,water department,Low,0
Request for a new connection for the village temple hall.,water department,Low,0
Water bill contains a large fine for late payment error.,water department,Low,0
Request for a status update on the complaint filed yesterday.,water department,Low,0
Water bill received is unreadable due to poor printing today.,water department,Low,0
Request for information on the water saving awareness here.,water department,Low,0
Water bill shows arrears for the previous three years area.,water department,Low,0
Request for a new water connection for the govt office.,water department,Low,0
Water bill shows a different reading than my digital meter.,water department,Low,0
Request for a copy of the latest KWA citizen charter today.,water department,Low,0
Water bill payment portal is not working for two days now.,water department,Low,0
Request for information on the domestic rainwater harvesting.,water department,Low,0
Inquiry about the procedure for changing the tap location.,water department,Low,0
Query regarding the timeline for the new pipeline extension.,water department,Low,0
Cracks appearing on Kothala bridge piers after monsoon floods.,public works department,Emergency,9.5
Missing manhole cover on the footpath near the bus stand area.,public works department,Emergency,9.6
Road is impassable for emergency vehicles due to deep craters.,public works department,Emergency,9.7
Sinking of road pavement on the Oravackal-Kothala MDR path.,public works department,Emergency,9.2
Bridge vibrating excessively when heavy trucks pass over it.,public works department,Emergency,9.4
Road blocked by a landslide after heavy mountain rains today.,public works department,Emergency,9.9
Sinking of the road edge near the canal embankment wall area.,public works department,Emergency,9.3
Deep crater on the highway that can cause a fatal crash now.,public works department,Emergency,10.0
Road pavement sinking on one side near a steep ravine edge.,public works department,Emergency,9.5
Large sinkhole formed on the side of NH 183 near the clinic.,public works department,Emergency,9.8
Large rock fallen from the hill blocking half the road span.,public works department,Emergency,9.1
Dangerous road gap between new tarring and the bridge joint.,public works department,Emergency,9.4
Road shoulder has collapsed near a steep hill edge today.,public works department,Emergency,9.6
Large sinkhole has opened in the middle of MC Road junction.,public works department,Emergency,9.9
Bridge piers showing signs of scouring near the river bed.,public works department,Emergency,9.8
Retaining wall of the mountain road has collapsed tonight.,public works department,Emergency,9.7
NH 183 road surface completely washed away near the field.,public works department,Emergency,9.4
Discovery of deep structural cracks in the PWD office block.,public works department,Emergency,9.2
Road has a hidden sinkhole under the asphalt layer currently.,public works department,Emergency,9.5
Culvert wall has collapsed into the main drainage stream area.,public works department,Emergency,9.3
Dangerous road crack widening on the main village bridge span.,public works department,Emergency,9.7
Road pavement collapsed during the night near the hill turn.,public works department,Emergency,10.0
Discovery of a massive sinkhole under the railway crossing.,public works department,Emergency,9.9
Retaining wall of the hospital road is leaning dangerously.,public works department,Emergency,9.5
Bridge span showing signs of sagging under its own weight.,public works department,Emergency,9.8
Road blocked by a fallen tree and live electrical pole today.,public works department,Emergency,9.4
Dangerous road dip formed on the high-speed bypass stretch.,public works department,Emergency,9.3
Discovery of large voids under the newly tarred road surface.,public works department,Emergency,9.2
Culvert cover missing on the road used by the school bus.,public works department,Emergency,9.7
Road shoulder eroding into the deep gorge near the hairpin bend.,public works department,Emergency,9.6
Bridge railing collapsed on both sides making transit risky.,public works department,Emergency,9.5
Discovery of structural failure in the village office roof.,public works department,Emergency,9.1
Road surface completely submerged and washed out by the river.,public works department,Emergency,9.9
Dangerous road gap near the school gate after drainage work.,public works department,Emergency,9.4
Retaining wall collapse blocking the entry to the fire station.,public works department,Emergency,9.8
Discovery of deep fissures on the highway bridge span area.,public works department,Emergency,9.7
Road is sinking near the canal bridge piers foundation area.,public works department,Emergency,9.3
Discovery of a massive sinkhole in the residential lane center.,public works department,Emergency,9.5
Bridge piers shaking visibly during the heavy truck transit.,public works department,Emergency,9.6
Road shoulder collapse near the temple entry gate currently.,public works department,Emergency,9.2
Discovery of structural cracks in the historical village hall.,public works department,Emergency,9.1
Road is impassable due to a large landslide in the hilly part.,public works department,Emergency,10.0
Bridge span joint is separating making it unsafe for traffic.,public works department,Emergency,9.8
Retaining wall failure near the clinic entry path currently.,public works department,Emergency,9.5
Road pavement sliding into the river near the village ghat.,public works department,Emergency,9.9
Discovery of major corrosion in the bridge support beams.,public works department,Emergency,9.4
Dangerous road gap formed between the road and the culvert.,public works department,Emergency,9.3
Retaining wall of the cemetery collapsed during the heavy rain.,public works department,Emergency,9.2
Discovery of structural cracks in the primary school wall.,public works department,Emergency,9.1
Road shoulder collapsed near the bus stand waiting shed area.,public works department,Emergency,9.5
Deep pothole on the NH 183 causing frequent accidents today.,public works department,High,0
Road shoulder collapsed near the steep curve at Vattukalam.,public works department,High,0
Heavy waterlogging on MC Road at Caritas Junction today area.,public works department,High,0
Guardrail broken on the highway bridge over the stream bed.,public works department,High,0
Missing traffic signs at a blind curve near the temple area.,public works department,High,0
PWD road dug up by KWA and left unrestored for a month now.,public works department,High,0
Large crack across the width of the road near the bridge span.,public works department,High,0
Road surface completely washed away near the paddy field area.,public works department,High,0
Broken culvert cover is dangerous for pedestrians at night.,public works department,High,0
Sinking wall adjacent to the PWD road near the hill edge side.,public works department,High,0
Multiple potholes appearing after only one week of rain now.,public works department,High,0
Road surface peeling off within months of resurfacing work.,public works department,High,0
Dangerous leaning tree on the highway needs urgent removal.,public works department,High,0
Road is dusty because the final tarring is delayed for months.,public works department,High,0
Bridge railing is rusted and broken in several places today.,public works department,High,0
Dangerous road gap near the manhole cover on the footpath.,public works department,High,0
Drainage pipe under the road broken causing water leaks now.,public works department,High,0
Water is stagnant in the middle of the road after tarring.,public works department,High,0
Pavement tiles near the bus stop are broken and sharp edge.,public works department,High,0
Road is too narrow for two cars to pass at peak hours area.,public works department,High,0
Large crater on the dark stretch of the road is a trap now.,public works department,High,0
Road shoulder is eroding into the nearby paddy field today.,public works department,High,0
Large crack on the side wall of the culvert near the mosque.,public works department,High,0
Pothole is so deep that it damages the car suspension now.,public works department,High,0
Dangerous road curve near the temple lacks warning signs.,public works department,High,0
Pothole is filled with mud making it slippery for bikes today.,public works department,High,0
Road is sinking near the entry of the village market area.,public works department,High,0
Request for repair of the broken guardrail on the hill road.,public works department,High,0
Pothole appeared on the newly laid tarring within a month.,public works department,High,0
Pothole at the entry of the highway bridge is dangerous now.,public works department,High,0
Road surface is showing cracks due to heavy truck traffic.,public works department,High,0
Pothole on the dark stretch of the road near the cemetery.,public works department,High,0
Drainage blockage is causing the road to turn into a stream.,public works department,High,0
Request for removal of the dangerous leaning tree near NH.,public works department,High,0
Road shoulder is full of loose mud making it unstable now.,public works department,High,0
Pothole on the curve is causing vehicles to swerve today.,public works department,High,0
Request for repair of the broken culvert slab near the gate.,public works department,High,0
Road shoulder is much lower than the tarred surface currently.,public works department,High,0
Road is waterlogged after the drain was closed for bridge.,public works department,High,0
Multiple potholes appearing near the primary health center.,public works department,High,0
Road surface has large cracks near the railway crossing area.,public works department,High,0
Request for the repair of the broken guardrail on canal bridge.,public works department,High,0
Road is dug up for a sewer line and left open for a week now.,public works department,High,0
Drainage wall has collapsed into the road during the storm.,public works department,High,0
Road is too narrow for the school bus to turn safely tonight.,public works department,High,0
Pothole pockmarked stretch of MC road near the hospital today.,public works department,High,0
Road is muddy and impassable due to unfinished drainage work.,public works department,High,0
Road waterlogged because of the unauthorized blocking of drain.,public works department,High,0
Road shoulder has collapsed near the steep hill edge currently.,public works department,High,0
Discovery of structural cracks on the village bridge pillars.,public works department,High,0
Street lights not working on the main village road tonight.,public works department,Medium,0
Road surface is bumpy after a poor patchwork repair today.,public works department,Medium,0
Request for a new speed breaker near the school entrance.,public works department,Medium,0
Footpath encroached by a temporary shop in the market area.,public works department,Medium,0
Minor cracks appearing on the surface of the village road.,public works department,Medium,0
Sand and gravel accumulation on the curve causing skidding.,public works department,Medium,0
Request for a traffic mirror at the blind turn near the pond.,public works department,Medium,0
Silt accumulation in the roadside drain preventing runoff.,public works department,Medium,0
Request for the installation of reflectors on the road curve.,public works department,Medium,0
Missing street lighting for a stretch on the hill road path.,public works department,Medium,0
Potholes making the bus ride painful for senior citizens now.,public works department,Medium,0
Request for widening the turn near Kandam Bazar junction.,public works department,Medium,0
Faded zebra crossing markings near the primary school area.,public works department,Medium,0
Road waterlogged because of a blocked drain outlet today.,public works department,Medium,0
Uneven pavement tiles near the village office entrance hall.,public works department,Medium,0
Overhanging tree branches blocking the highway signs here.,public works department,Medium,0
Faded road markings at the main village junction currently.,public works department,Medium,0
Request for a safety railing on the steep slope path here.,public works department,Medium,0
Alligator cracking observed on the road surface today area.,public works department,Medium,0
Street lights stay on even during the bright afternoon today.,public works department,Medium,0
Road surface is showing signs of stripping after the rain.,public works department,Medium,0
Pavement tiles are uneven and loose near the village office.,public works department,Medium,0
Street lights missing for a 500-meter stretch on the hill.,public works department,Medium,0
Road surface is bumpy due to poor patch work by contractor.,public works department,Medium,0
Water is stagnant in the middle of the road after tarring it.,public works department,Medium,0
Request for a new footpath near the busy hospital entry gate.,public works department,Medium,0
Bridge expansion joints are making a loud noise when cars pass.,public works department,Medium,0
Pavement tiles near the bus stop are broken and dangerous.,public works department,Medium,0
Road surface is full of loose gravel from the repair work.,public works department,Medium,0
Road is waterlogged making it difficult for school kids path.,public works department,Medium,0
Road surface is uneven because of the poorly laid cable path.,public works department,Medium,0
Drainage overflow is entering the road surface near school.,public works department,Medium,0
Road is very narrow and causes traffic jams at peak hours.,public works department,Medium,0
Road surface is showing signs of raveling near the junction.,public works department,Medium,0
Waterlogging on the road is causing the pavement to fail now.,public works department,Medium,0
Road shoulder is full of loose mud making it unstable tonight.,public works department,Medium,0
Road surface is bumpy and needs immediate patchwork today.,public works department,Medium,0
Request for information on the street lighting maintenance.,public works department,Medium,0
Complaint about the vibration felt in houses near the bridge.,public works department,Medium,0
Road is waterlogged because the side drain is silted now.,public works department,Medium,0
Request for removal of old concrete ruins near the road path.,public works department,Medium,0
Request for cleaning the drainage pipes under the village road.,public works department,Medium,0
Request for tarring of the inner colony road in Ward 3 area.,public works department,Medium,0
Road used for a temporary market preventing traffic flow now.,public works department,Medium,0
Request for widening the culvert to prevent road flooding.,public works department,Medium,0
Street lights are flickering and buzzing in the ward area.,public works department,Medium,0
Request for status on the petition for the new waiting shed.,public works department,Medium,0
Road surface is uneven at the entry of the highway bridge.,public works department,Medium,0
Road waterlogged because of the zero slope in the tarring work.,public works department,Medium,0
Request for cleaning the overgrown grass on the road shoulder.,public works department,Medium,0
Request for a name board for Kothala village at entry gate.,public works department,Low,0
Inquiry about the status of the road maintenance contract.,public works department,Low,0
Request for removal of illegal posters from traffic signs.,public works department,Low,0
Request for cleaning overgrown weeds on the road shoulder.,public works department,Low,0
Query regarding the proposed highway widening at Kothala.,public works department,Low,0
Request for information on the new public garden plot area.,public works department,Low,0
Complaint about dust from the road making shops dirty today.,public works department,Low,0
Request for a passenger waiting shed near the village office.,public works department,Low,0
Inquiry about the timeline for the new bridge construction.,public works department,Low,0
Request for information on the "PWD4U" mobile application.,public works department,Low,0
Inquiry about the Right of Way permission for cable laying.,public works department,Low,0
Request for a NOC to establish a shop near the highway road.,public works department,Low,0
Inquiry about the PWD rest house booking procedure tonight.,public works department,Low,0
Request for painting the safety barriers on the highway span.,public works department,Low,0
Query on the rules for installing a village name board area.,public works department,Low,0
Request for cleaning the drainage vents on the bridge deck.,public works department,Low,0
Inquiry about the budget allocated for ward road repair area.,public works department,Low,0
Request for speed limit signs near the temple entrance gate.,public works department,Low,0
Query regarding the contractor license renewal process today.,public works department,Low,0
Request for information on the new bicycle lane project area.,public works department,Low,0
Inquiry about the PWD citizen charter for service timelines.,public works department,Low,0
Request for a list of ongoing road projects in the panchayat.,public works department,Low,0
Query about the compensation for land acquired for road work.,public works department,Low,0
Inquiry about the procedure for reporting an illegal road bump.,public works department,Low,0
Request for information on the road safety audit of the ward.,public works department,Low,0
Complaint about the lack of reflectors on the new village road.,public works department,Low,0
Inquiry about the timeline for filling the minor road cracks.,public works department,Low,0
Request for a copy of the road development plan for Kothala.,public works department,Low,0
Query regarding the ownership of the small path near the field.,public works department,Low,0
Request for more signage near the blind curve for safety now.,public works department,Low,0
Inquiry about the NOC for digging the road shoulder for pipes.,public works department,Low,0
Request for information on the maintenance wing contact info.,public works department,Low,0
Inquiry about the schedule for street light maintenance work.,public works department,Low,0
Request for a demo of the PWD4U app for the village elders.,public works department,Low,0
Query regarding the permit for constructing a shop ramp path.,public works department,Low,0
Inquiry about the budget for high-mast lighting in the square.,public works department,Low,0
Request for a meeting with the AEE regarding road drainage.,public works department,Low,0
Complaint about receiving a duplicate notice for encroachment.,public works department,Low,0
Request for a name board for the sub-road in the colony area.,public works department,Low,0
Inquiry about the Right of Way rules for fiber optic cable.,public works department,Low,0
Request for information on the solar street light scheme today.,public works department,Low,0
Query regarding the contractor's liability for road repairs.,public works department,Low,0
Inquiry about the PWD building fitness certificate process.,public works department,Low,0
Request for painting the zebra crossing near the school gate.,public works department,Low,0
Inquiry about the ward-wise road maintenance running contract.,public works department,Low,0
Request for a brochure on PWD's ongoing bridge projects here.,public works department,Low,0
Query regarding the permit for temporary road closure tonight.,public works department,Low,0
Inquiry about the contact number for the PWD road inspector.,public works department,Low,0
Request for information on the pothole reporting system rules.,public works department,Low,0
Query regarding the budget for the new footpath construction.,public works department,Low,0
House fire reported in Kothala area; people suspected inside.,fire department,Emergency,10.0
Person trapped in an 80-foot deep well near the village temple.,fire department,Emergency,10.0
Major accident on NH 183; passengers trapped in crushed car.,fire department,Emergency,9.9
LPG cylinder leak and smell in a high-rise apartment kitchen.,fire department,Emergency,9.8
Wild animal (leopard) spotted near a residential village home.,fire department,Emergency,9.5
Chemical spill from a tanker truck on the highway junction.,fire department,Emergency,9.7
Person missing and suspected drowned in the Meenachil river.,fire department,Emergency,10.0
Wall collapse at building site; workers buried in the debris.,fire department,Emergency,10.0
Person stuck in a borewell; specialized rescue team needed.,fire department,Emergency,10.0
Gas leak detected at the local petrol pump station tonight.,fire department,Emergency,9.8
Fire at a textile shop in the busy Pampady market area now.,fire department,Emergency,9.8
Child trapped in an elevator that has stopped between floors.,fire department,Emergency,9.1
Fire at an illegal firecracker storage unit in a private home.,fire department,Emergency,10.0
Large tree fell on a house during a storm; roof is collapsed.,fire department,Emergency,9.4
Smoke detected in the server room of a local village bank.,fire department,Emergency,9.2
Oil spill on the highway after a major vehicle collision tonight.,fire department,Emergency,9.3
Discovery of an unexploded firework near the school building.,fire department,Emergency,9.2
Gas leak from an LPG tanker after a minor highway accident.,fire department,Emergency,9.9
Rescue of a person who jumped into the village pond tonight.,fire department,Emergency,9.5
Short circuit causing a fire in the electrical substation yard.,fire department,Emergency,9.7
Person fallen into an open septic tank at the building site.,fire department,Emergency,9.7
Fire in a school lab during the afternoon science class today.,fire department,Emergency,9.4
Major road accident on NH 183 involving a large passenger bus.,fire department,Emergency,10.0
Gas leak from a commercial cylinder at the street food stall.,fire department,Emergency,9.6
Fire at a rubber sheet smoking unit; thick smoke is spreading.,fire department,Emergency,9.5
Rescue required for a worker trapped in a confined metal tank.,fire department,Emergency,9.9
Gas leak smell near the hospital's central oxygen supply unit.,fire department,Emergency,10.0
Rescue required for a person trapped in a collapsed trench.,fire department,Emergency,9.8
Rescue required for a person who jumped into the river today.,fire department,Emergency,9.5
Rescue required for a person trapped under a fallen brick wall.,fire department,Emergency,9.6
Fire at a local pharmacy; risk of toxic fumes from medicine.,fire department,Emergency,9.3
Fire at a local coconut oil mill; a massive smoke plume area.,fire department,Emergency,9.1
Wild animal attack reported; person injured in the forest zone.,fire department,Emergency,9.8
Major structural collapse of an old apartment building tonight.,fire department,Emergency,10.0
LPG tanker overturned on the highway; gas is leaking out now.,fire department,Emergency,10.0
Rescue required for a child trapped in a locked burning room.,fire department,Emergency,10.0
Fire in a chemical warehouse; explosion hazard is very high.,fire department,Emergency,9.9
Discovery of a person trapped inside a sunken vehicle today.,fire department,Emergency,9.8
Fire at a hospital ward; evacuation of patients needed now.,fire department,Emergency,10.0
Gas leak in the basement parking of a busy shopping complex.,fire department,Emergency,9.5
Rescue required for people trapped on a flooded island area.,fire department,Emergency,9.9
Fire at a high-tension electrical tower near the marketplace.,fire department,Emergency,9.4
Massive forest fire spreading towards the village residential.,fire department,Emergency,9.2
Discovery of a person buried under a landslide on the highway.,fire department,Emergency,10.0
Fire at a petrol station due to a short circuit at the pump.,fire department,Emergency,10.0
Rescue required for a person trapped in a deep industrial pit.,fire department,Emergency,9.7
Fire at a large textile factory; several workers are inside.,fire department,Emergency,9.9
Discovery of a toxic gas leak from a transport container now.,fire department,Emergency,9.6
Rescue required for a person whose hand is stuck in a machine.,fire department,Emergency,9.3
Fire at an old age home; elderly residents need rescue now.,fire department,Emergency,10.0
Forest fire spreading near the rubber plantations boundary.,fire department,High,0
Electrical fire at the NSS High School computer lab tonight.,fire department,High,0
Fire at a local bakery due to an oven malfunction currently.,fire department,High,0
Flooding in a residential basement; rescue is needed today.,fire department,High,0
Fire in a haystack near a cowshed; animals are at risk area.,fire department,High,0
Fire in an AC unit at a bank during busy office hours today.,fire department,High,0
Fallen tree blocking the main road to the hospital center.,fire department,High,0
Fire in a library; valuable historical records are at risk.,fire department,High,0
Fire in an empty school bus spreading to the nearby trees.,fire department,High,0
Rescue required for a cow stuck in a marshy pond area today.,fire department,High,0
Smoke coming out of a closed shop at midnight in the market.,fire department,High,0
Person trapped on a cliff after losing their way hiking now.,fire department,High,0
Fire at a rubber processing unit with thick black smoke area.,fire department,High,0
Rescue of a child whose hand is caught in a metal door area.,fire department,High,0
Fire at a chicken farm; many birds at immediate risk tonight.,fire department,High,0
Gas smell near the hospital's central oxygen supply unit area.,fire department,High,0
Structural collapse of an old bridge after a heavy monsoon.,fire department,High,0
Fire in a warehouse storing paints and thinners currently.,fire department,High,0
Rescue of a fisherman whose boat capsized in the river today.,fire department,High,0
Snake spotted inside the nursery school building ward area.,fire department,High,0
Short circuit and smoke from the electrical transformer area.,fire department,High,0
Smoke detected in the server room of the government office.,fire department,High,0
Oil spill on the highway after a vehicle collision tonight.,fire department,High,0
Fire in a haystack near the residential home in the ward.,fire department,High,0
Lightning strike caused a fire in the tall palm tree area.,fire department,High,0
Rescue of a child whose hand is stuck in a heavy metal gate.,fire department,High,0
Fire in a warehouse storing paints and thinners currently.,fire department,High,0
Smoke coming from a locked residential house in the lane.,fire department,High,0
Fire at a tailoring shop; a lot of fabric is burning area.,fire department,High,0
Fire in a generator room of the private bank branch tonight.,fire department,High,0
Fallen tree blocking the main entry to the health center.,fire department,High,0
Rescue of a person trapped in a lift at the shopping mall.,fire department,High,0
Smoke detected in the library storage area during the day.,fire department,High,0
Fire at a poultry farm; hundreds of birds at risk tonight.,fire department,High,0
Visible smoke coming from a closed shop at the Kandam Bazar.,fire department,High,0
Short circuit in the street light pole sparking onto house.,fire department,High,0
Rescue of a child whose hand is caught in a metal door path.,fire department,High,0
Smoke detected in the bus while moving on the highway span.,fire department,High,0
Fire at a mobile phone tower station after a lightning hit.,fire department,High,0
Fire at a waste dumping yard; smoke causing poor visibility.,fire department,High,0
Fire at a small electronics shop; batteries are popping now.,fire department,High,0
Fire at a haystack near the residential home in the ward.,fire department,High,0
Fire in an AC unit at the local government office tonight.,fire department,High,0
Visible smoke from the rooftop of a locked village house.,fire department,High,0
Fire at a tailoring shop; fabric waste is burning tonight.,fire department,High,0
Visible smoke from the ventilation of the shopping complex.,fire department,High,0
Gas leak detected at the domestic gas cylinder valve path.,fire department,High,0
Smoke detected in the attic of a residential building area.,fire department,High,0
Short circuit in the electrical pole near the temple gate.,fire department,High,0
